Country_Name,Literacy,GDPpc,Workforce,Lifeex,Unemployment,Urbanpct,Elictricity
Suriname,,4256.91279,3877075,74.9,18.32999992,66.938,99.5
Sweden,,11340.82227,26275654,74.437,8.800000191,71.402,99.91078186
Switzerland,,3642.437689,,,,55.807,97.49079895
Syrian Arab Republic,,733.4128065,21648145,61.713,3.470000029,28.798,14.2
Tajikistan,,574.9195768,12668625,57.796,3.849999905,19.898,14.6
Tanzania,,3569.757027,21623673,70.80926829,7.860000134,68.689,99.98504639
Thailand,,7470.462587,1286253140,74.17901985,5.549136221,60.25907864,98.8660051
Timor-Leste,,14166.49909,1733195,76.739,6.309999943,94.612,99.17
Trinidad and Tobago,,49793.71352,157131234,78.64146341,8.949999809,80.944,100
Turkmenistan,,1564.966945,13434494,70.322,8.156999588,51.15,99.99790955
Turks and Caicos Islands,,6183.676822,56007,72.501,18.50300026,49.356,94.62234497
Tuvalu,,10741.57638,13475410,73.748,7.840000153,88.108,98.84
Uganda,,,,,,45.154,
Ukraine,,39144.16577,54182,78.41707317,8.111000061,94.761,100
United Arab Emirates,,1515.479925,52960884,75.294,2.019999981,31.08,99
United Kingdom,,3275.091684,105491,70.988,5.369999886,24.561,38.43458939
United States,,10451.4535,3216144358,70.97181587,5.602624107,52.11642023,82.50277472
Uzbekistan,,3942.051645,37350,73.513,5.679999828,19.857,96.6685747
Vanuatu,,3736.363217,,70.14878049,,,99.43043518
Vietnam,,1349.42025,5450634,63.786,16.98999977,32.364,64.53218079
Virgin Islands (U.S.),,7967.678159,19082445,57.201,24.64999962,62.746,84.7
"Yemen, Rep.",,1644.619672,5788801,57.872,9.989999771,39.851,24.3286438
Zambia,,980.2088242,6962532,54.8,5.369999886,33.015,36.9
